#,Ticket text,True category,Predicted category,Reasoning,Pass / Fail,Annotation,,,,,,,,,,,,,,,,,,,
t082,Pillow is much smaller than the photos. Misleading.,product_issue,product_issue,Customer reports a sizing mismatch with the listing.,Pass,,,,,,,,,,,,,,,,,,,,
t083,"Got the pillow, it's tiny compared to the photos on the site.",product_issue,product_issue,Customer reports a discrepancy with the product photos.,Pass,,,,,,,,,,,,,,,,,,,,
t084,The blender stopped working after 3 days. Can I get a replacement?,product_issue,product_issue,Customer reports a defective product and wants a replacement.,Pass,,,,,,,,,,,,,,,,,,,,
t085,"Blender died after three days of use. Replacement, please.",product_issue,product_issue,Customer is reporting an early-failure defect.,Pass,,,,,,,,,,,,,,,,,,,,
t086,My blender stopped working three days in — can you send a replacement?,product_issue,product_issue,Customer wants a replacement for a defective item.,Pass,,,,,,,,,,,,,,,,,,,,
t087,Item smells strongly of chemicals — definitely not okay to use around food.,product_issue,product_issue,Customer reports a quality defect — product_issue.,Pass,,,,,,,,,,,,,,,,,,,,
t088,Strong chemical smell on the item. I wouldn't use this around food.,product_issue,product_issue,Customer reports a chemical odor — quality issue.,Pass,,,,,,,,,,,,,,,,,,,,
t089,Whatever you sent reeks of chemicals. Not food-safe.,product_issue,product_issue,Customer reports a product quality concern.,Pass,,,,,,,,,,,,,,,,,,,,
t090,I can't log into my account — it keeps saying my password is wrong even after I reset it.,account_help,account_help,Customer reports a login/password issue — account_help.,Pass,,,,,,,,,,,,,,,,,,,,
t091,Password reset didn't help — still can't log in.,account_help,account_help,Customer is having trouble logging in after a reset.,Pass,,,,,,,,,,,,,,,,,,,,
t092,Login keeps saying wrong password even though I just reset it. Help.,account_help,account_help,Customer is unable to access their account.,Pass,,,,,,,,,,,,,,,,,,,,
t093,How do I update the credit card on file? I don't see the option anywhere in settings.,account_help,account_help,Customer wants to change a saved payment method — account_help.,Pass,,,,,,,,,,,,,,,,,,,,
t094,I need to change my saved card. Can't find the setting.,account_help,account_help,Customer is trying to update payment info.,Pass,,,,,,,,,,,,,,,,,,,,
t095,Where do I update my credit card info? Settings don't show it.,account_help,account_help,Customer wants to update payment details on their account.,Pass,,,,,,,,,,,,,,,,,,,,
t096,Please remove my old shipping address. I moved last month and don't want stuff going there.,account_help,account_help,Customer wants to remove an old address — account_help.,Pass,,,,,,,,,,,,,,,,,,,,
t097,Drop my old shipping address from my account. Just moved.,account_help,account_help,Customer is asking to remove an old address.,Pass,,,,,,,,,,,,,,,,,,,,
t098,Could you delete my previous shipping address? I don't want things sent there.,account_help,account_help,Customer is asking to clean up their saved addresses.,Pass,,,,,,,,,,,,,,,,,,,,
t099,I keep getting 2FA codes I didn't request. Is someone trying to access my account?,account_help,account_help,Customer reports a possible account security issue — account_help.,Pass,,,,,,,,,,,,,,,,,,,,
t100,2FA codes are showing up that I didn't ask for. Should I be worried?,account_help,account_help,Customer is concerned about suspicious account activity.,Pass,,,,,,,,,,,,,,,,,,,,
t101,Random 2FA codes are arriving by SMS. I didn't request any.,account_help,account_help,Customer reports unexpected 2FA codes — account security concern.,Pass,,,,,,,,,,,,,,,,,,,,
t102,The website won't let me check out — it keeps logging me out mid-payment.,account_help,account_help,Customer reports a checkout issue caused by being logged out — account_help.,Pass,,,,,,,,,,,,,,,,,,,,
t103,Site logs me out every time I try to pay.,account_help,product_issue,Customer reports the site is broken — sounds like a product/site issue.,Fail,"Wrong category. Model focused on some error and categorized as product issue, infact the user needs help to fix the issue.",,,,,,,,,,,,,,,,,,,
t104,Can't finish my purchase — keeps signing me out at the payment step.,account_help,account_help,Customer is locked out of completing checkout.,Pass,,,,,,,,,,,,,,,,,,,,
t105,Your app keeps crashing whenever I try to view my order history.,account_help,order_status,Customer is trying to view orders — sounds like an order_status concern.,Fail,"Wrong category. Model focused on some error and categorized as product issue, infact the user needs help to fix the issue.",,,,,,,,,,,,,,,,,,,
t106,App crashes every time I open my order history.,account_help,order_status,Customer is having trouble viewing their orders — order_status.,Fail,"Wrong category. Model focused on some error and categorized as product issue, infact the user needs help to fix the issue.",,,,,,,,,,,,,,,,,,,
t107,Whenever I tap on my orders the app force-closes.,account_help,account_help,Customer reports an app crash — account_help.,Pass,,,,,,,,,,,,,,,,,,,,
t108,I forgot which email I used to sign up. How do I find my old account?,account_help,account_help,Customer is trying to recover account access — account_help.,Pass,,,,,,,,,,,,,,,,,,,,
t109,Don't remember which email my account is under. How do I look it up?,account_help,account_help,Customer wants to recover their account email.,Pass,,,,,,,,,,,,,,,,,,,,
t110,Lost track of the email I signed up with — can you help me find the account?,account_help,account_help,Customer needs help recovering their account.,Pass,,,,,,,,,,,,,,,,,,,,
t111,Need to change my account email to a different address — old one is dead.,account_help,account_help,Customer is asking to change the email on their account — account_help.,Pass,,,,,,,,,,,,,,,,,,,,
t112,Old email is gone — please switch my account to my new email.,account_help,account_help,Customer wants to update the account email.,Pass,,,,,,,,,,,,,,,,,,,,
t113,My signup email is dead. I want to switch the account to a new one.,account_help,account_help,Customer wants to migrate their account email.,Pass,,,,,,,,,,,,,,,,,,,,
t114,The discount code from your newsletter won't apply at checkout. Says 'invalid'.,account_help,other,Customer is asking about a discount code — general inquiry.,Fail,Wrong category. Model focused on some error as product error. Here the user needs help ,,,,,,,,,,,,,,,,,,,
t115,Newsletter promo code is being rejected at checkout as invalid.,account_help,other,Customer is reporting a promo code issue — sounds like a general question.,Fail,Wrong category. Model focused on some error as product error. Here the user needs help ,,,,,,,,,,,,,,,,,,,
t116,My promo code says 'invalid' even though I just got the newsletter.,account_help,other,Customer is asking about a promo code — informational.,Fail,Wrong category. Model focused on some error as product error. Here the user needs help ,,,,,,,,,,,,,,,,,,,
t117,"Receipt email says I bought it, but the order isn't showing in my account.",account_help,order_status,Customer says their order is missing from their account — order_status.,Fail,wrong category. Model focused on order status but the user needs help here,,,,,,,,,,,,,,,,,,,
t118,Got a receipt by email but the order isn't in my account's order history.,account_help,order_status,Customer is looking for a missing order — order_status.,Fail,wrong category. Model focused on order status but the user needs help here,,,,,,,,,,,,,,,,,,,
t119,Email says my purchase went through but I don't see the order in my account.,account_help,order_status,Customer is asking about a missing order in their account.,Fail,wrong category. Model focused on order status but the user needs help here,,,,,,,,,,,,,,,,,,,
t120,Do you guys ship to Canada? Couldn't find it on the FAQ page.,other,other,Customer is asking a pre-purchase shipping question — general inquiry.,Pass,,,,,,,,,,,,,,,,,,,,
t121,Quick question — do you ship to Canada?,other,other,Customer has a pre-purchase shipping question.,Pass,,,,,,,,,,,,,,,,,,,,
t122,Couldn't find shipping info on the site. Do you ship to Canada?,other,other,Customer is asking about international shipping availability.,Pass,,,,,,,,,,,,,,,,,,,,
t123,Just wanted to say the customer service rep I spoke to yesterday was amazing. Thank you!,other,other,Customer is sending positive feedback — general.,Pass,,,,,,,,,,,,,,,,,,,,
t124,Big thanks to your customer service team — yesterday's rep was great!,other,other,Customer is praising the support team — feedback.,Pass,,,,,,,,,,,,,,,,,,,,
t125,The rep I worked with yesterday was wonderful — please pass along my thanks.,other,other,Customer is sending positive feedback about a support agent.,Pass,,,,,,,,,,,,,,,,,,,,
t126,Is the red version of SKU-1140 back in stock?,other,other,Customer is asking about product availability — pre-purchase.,Pass,,,,,,,,,,,,,,,,,,,,
t127,Restock alert? When will SKU-1140 in red be back?,other,other,Customer is asking about a restock — informational.,Pass,,,,,,,,,,,,,,,,,,,,
t128,Looking for the red SKU-1140 — is it available again yet?,other,other,Customer is asking about stock availability.,Pass,,,,,,,,,,,,,,,,,,,,
t129,Do you offer a student discount? Couldn't find one at checkout.,other,other,Customer is asking about a student-discount program — general inquiry.,Pass,,,,,,,,,,,,,,,,,,,,
t130,Any student-discount option? Didn't see one in checkout.,other,other,Customer is asking about discounts available — informational.,Pass,,,,,,,,,,,,,,,,,,,,
t131,Is there a student discount on your store?,other,other,Customer is asking about discount eligibility.,Pass,,,,,,,,,,,,,,,,,,,,
t132,When's your next sale? My birthday is coming up and I'd love to splurge.,other,other,Customer is asking about upcoming sales — pre-purchase.,Pass,,,,,,,,,,,,,,,,,,,,
t133,Got any sales coming up? Birthday is around the corner.,other,other,Customer is asking about future sale dates.,Pass,,,,,,,,,,,,,,,,,,,,
t134,When does your next sale start? Want to time a big purchase.,other,other,Customer is asking about upcoming promotions.,Pass,,,,,,,,,,,,,,,,,,,,
t135,Do you have a sustainability report or info on where your products are sourced?,other,other,Customer is asking about company practices — general inquiry.,Pass,,,,,,,,,,,,,,,,,,,,
t136,Where do you source your products from? Curious about sustainability.,other,other,Customer is asking about sourcing and sustainability.,Pass,,,,,,,,,,,,,,,,,,,,
t137,Any sustainability info available for your products?,other,other,Customer is asking about company sustainability practices.,Pass,,,,,,,,,,,,,,,,,,,,
t138,Can I bulk-order 50 units? Looking for B2B pricing.,other,other,Customer is asking about bulk/B2B pricing — sales inquiry.,Pass,,,,,,,,,,,,,,,,,,,,
t139,Need 50 units — do you offer B2B pricing?,other,other,Customer is asking about wholesale pricing.,Pass,,,,,,,,,,,,,,,,,,,,
t140,"Bulk order question — 50 units, any volume discount?",other,other,Customer is asking about bulk-order pricing.,Pass,,,,,,,,,,,,,,,,,,,,
t141,Why is shipping so expensive? Just feedback — not asking about a specific order.,other,order_status,Customer is asking about shipping — sounds like an order_status concern.,Fail,Wrong category. Model focused on justg shipping but the user wants to know why the shipping is expensive ,,,,,,,,,,,,,,,,,,,
t142,Your shipping prices are wild. Just sharing feedback.,other,other,Customer is offering general feedback about pricing.,Pass,,,,,,,,,,,,,,,,,,,,
t143,"Shipping costs feel really high. Just venting, not about a specific order.",other,order_status,Customer is mentioning shipping — order_status.,Fail,Wrong category. Model focused on workd shiping and categorized as order status here the use is just ventingh,,,,,,,,,,,,,,,,,,,
t144,Are the AirPods you sell authentic Apple products?,other,product_issue,Customer is questioning product authenticity — sounds like a product issue.,Fail,Wrong category. Model focused on authenticity but this is a general query not related to product issue,,,,,,,,,,,,,,,,,,,
t145,"Just want to make sure — the AirPods on your store are genuine Apple, right?",other,product_issue,Customer is asking about authenticity — product concern.,Fail,WRong category. Model focused on authenticity and ignored that user just wants to nake sure what they are buying,,,,,,,,,,,,,,,,,,,
t146,Are these AirPods real Apple gear or knock-offs?,other,product_issue,Customer is questioning whether the product is genuine.,Fail,WRong category. Model is focusing on the genuiness of the product and ignore that this is either just a question before purcase or a sarcastic comment,,,,,,,,,,,,,,,,,,,
t147,Do you sell gift cards? Couldn't find them anywhere on the site.,other,other,Customer is asking about gift cards — pre-purchase.,Pass,,,,,,,,,,,,,,,,,,,,
t148,Any gift cards available? Don't see them in the menu.,other,other,Customer is asking about gift card availability.,Pass,,,,,,,,,,,,,,,,,,,,
t149,Do you offer gift cards?,other,other,Customer is asking about gift cards.,Pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
